,COD_RIP,COD_REG,COD_UTS,PRO_COM_T,PRO_COM,COMUNE,COMUNE_A,SIGLA_AUTOMOBILISTICA,POP_LEG,ANNO_CENSIMENTO,AREA_KMQ,ANNO_AREA,POP_RES,ANNO_POP_RES,anno_riferimento
250,1,01,001,001251,1251,San Ponso,,TO,265.0,2001,"2,1243",2010,274,2009,2010
251,1,01,001,001252,1252,San Raffaele Cimena,,TO,2815.0,2001,"11,152",2010,3092,2009,2010
252,1,01,001,001253,1253,San Sebastiano da Po,,TO,1791.0,2001,"16,5766",2010,1917,2009,2010
253,1,01,001,001254,1254,San Secondo di Pinerolo,,TO,3379.0,2001,"12,5719",2010,3578,2009,2010
254,1,01,001,001255,1255,Sant'Ambrogio di Torino,,TO,4275.0,2001,"8,3682",2010,4836,2009,2010
255,1,01,001,001256,1256,Sant'Antonino di Susa,,TO,4023.0,2001,"9,7945",2010,4317,2009,2010
256,1,01,001,001257,1257,Santena,,TO,10189.0,2001,"16,1984",2010,10549,2009,2010
257,1,01,001,001258,1258,Sauze di Cesana,,TO,186.0,2001,"78,2772",2010,245,2009,2010
258,1,01,001,001259,1259,Sauze d'Oulx,,TO,984.0,2001,"17,3112",2010,1165,2009,2010
259,1,01,001,001260,1260,Scalenghe,,TO,3072.0,2001,"31,6768",2010,3345,2009,2010
260,1,01,001,001261,1261,Scarmagno,,TO,740.0,2001,"8,0308",2010,788,2009,2010
261,1,01,001,001262,1262,Sciolze,,TO,1437.0,2001,"11,3557",2010,1494,2009,2010
262,1,01,001,001263,1263,Sestriere,,TO,838.0,2001,"25,9158",2010,872,2009,2010
263,1,01,001,001264,1264,Settimo Rottaro,,TO,517.0,2001,"6,0578",2010,530,2009,2010
264,1,01,001,001265,1265,Settimo Torinese,,TO,46982.0,2001,"32,3659",2010,47228,2009,2010
265,1,01,001,001266,1266,Settimo Vittone,,TO,1585.0,2001,"23,259",2010,1535,2009,2010
266,1,01,001,001267,1267,Sparone,,TO,1174.0,2001,"29,6785",2010,1146,2009,2010
